accession	strain
KT995566	USA/GA/2014-19200
KT995610	USA/GA/2014-19246
KT995548	USA/IA/2014-19171
KT995589	USA/IA/2014-19225
KT995555	USA/ID/2014-19068
KT995588	USA/ID/2014-19224
KT995621	USA/ID/2014-19256
MK268345	USA/IL/2014-18956
KT995542	USA/IL/2014-19179
KT995565	USA/IL/2014-19199
KT995598	USA/KS/2014-19234
KT995532	USA/KY/2014-19167
KT995545	USA/KY/2014-19182
KT995576	USA/KY/2014-19209
KT995583	USA/KY/2014-19219
KT995600	USA/KY/2014-19236
KT995534	USA/LA/2014-19168
KT995556	USA/LA/2014-19191
KT995584	USA/LA/2014-19220
KT995546	USA/MA/2014-19048
KT995547	USA/MA/2014-19183
KT995596	USA/MA/2014-19232
KT995599	USA/MD/2014-19235
KU669045	USA/MI/2014-19082
KT995564	USA/MI/2014-19198
KT995585	USA/MI/2014-19221
KT995602	USA/MI/2014-19238
KT995616	USA/MI/2014-19251
KU669043	USA/MI/2014-19265
KU669042	USA/MI/2014-19266
KT995531	USA/MO/2014-19166
KT995530	USA/MO/2014-19174
KT995549	USA/MS/2014-19052
KT995570	USA/MS/2014-19204
KT995607	USA/MS/2014-19243
KT995550	USA/MT/2014-19216
KT995553	USA/NC/2014-19064
KT995593	USA/NC/2014-19229
KT995613	USA/NC/2014-19248
KT995619	USA/NC/2014-19254
KT995571	USA/ND/2014-19205
KT995617	USA/ND/2014-19252
KT995572	USA/NE/2014-19206
KT995622	USA/NE/2014-19257
KT995579	USA/NJ/2014-19212
KT995615	USA/NJ/2014-19250
KT995627	USA/NJ/2014-19262
KX675262	USA/NY/2016-19505
KT995557	USA/OH/2014-19192
KT995587	USA/OH/2014-19223
KT995604	USA/OH/2014-19240
KT995536	USA/OK/2014-19170
KT995612	USA/OK/2014-19247
KT995595	USA/OR/2014-19073
KU669040	USA/OR/2014-19268
KU669039	USA/OR/2014-19269
KT995537	USA/PA/2014-19035
KT995538	USA/PA/2014-19177
KT995628	USA/PA/2014-19263
KT995569	USA/RI/2014-19203
KT995580	USA/RI/2014-19213
KT995581	USA/RI/2014-19214
KT995562	USA/SC/2014-19196
KT995582	USA/SC/2014-19215
KT995603	USA/SC/2014-19239
KT995559	USA/SD/2014-19193
KT995560	USA/SD/2014-19194
KT995573	USA/SD/2014-19207
KT995614	USA/SD/2014-19249
KT995625	USA/TN/2014-19260
KU669044	USA/TX/2014-19083
KT995552	USA/TX/2014-19185
KT995592	USA/TX/2014-19228
KT995626	USA/TX/2014-19261
KX675263	USA/TX/2016-19506
KT995561	USA/UT/2014-19195
KT995539	USA/VA/2014-19178
KT995544	USA/VA/2014-19181
KT995554	USA/VA/2014-19187
KT995574	USA/VA/2014-19218
KT995620	USA/VA/2014-19255
KT995609	USA/VT/2014-19245
KT995624	USA/VT/2014-19259
KT995578	USA/WA/2014-19060
KT995551	USA/WA/2014-19184
KT995577	USA/WA/2014-19210
KT995558	USA/WI/2014-19217
KT995586	USA/WI/2014-19222
KT995590	USA/WI/2014-19226
KT995606	USA/WV/2014-19242
KT995601	USA/WY/2014-19051
KT995618	USA/WY/2014-19253
KY767820	V12-2268728
KY767821	V13-2245157
KY767822	V14-8151546
LC495298	take3
LC495299	take4
MN163000	USA/2016/CA-RGDS-1052
MN173591	USA/2016/CA-RGDS-1053
MN173594	USA/2018/CA-RGDS-1056
MN240494	USA/AK/2008-23112
MN240492	USA/AL/2007-23110
MN246005	USA/AL/2018-23212
MN246007	USA/AZ/2018-23214
MN240508	USA/CA/1962-23234
MN240507	USA/CA/2002-23233
MN240509	USA/CA/2003-23235
MN259119	USA/CO/2016-23290
MN245981	USA/CO/2018-23087
